"smell","smell_directory","source_id","source_type","title","official_source","url","downloaded_path","bytes","downloaded_at"
"2","02-magic-number-magic-valuation-terms","KY-KRS-304-14","krs_statute","KRS Chapter 304 Subtitle 14 — The Insurance Contract","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55765","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-KRS-304-14.html","16887","2026-06-01T11:20:41"
"2","02-magic-number-magic-valuation-terms","KY-KRS-304-20","krs_statute","KRS Chapter 304 Subtitle 20 — Casualty Insurance Contracts","yes","https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38730","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-KRS-304-20.html","27181","2026-06-01T11:20:43"
"2","02-magic-number-magic-valuation-terms","KY-SERFF-KNIC-127064322","serff_rate_rule_filing","Kentucky National Insurance Company Homeowners Policy Program Manual Rate/Rule Filing (KNIC-127064322) — Full Pipeline PDF via AM Best","yes","https://www3.ambest.com/completefilings/KY_05_2011_601300_584481.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-SERFF-KNIC-127064322.pdf","988279","2026-06-01T11:21:04"
"3","03-coverage-inversion-contradictory-conditions","KY-DOI-AO-2023-08","doi_bulletin","Advisory Opinion 2023-08 — Matching in Property Loss Settlement (806 KAR 12:095 Section 9)","yes","https://insurance.ky.gov/ppc/Documents/Advisory%20Opinion%202023-08%20RE%20Matching%20Final.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-DOI-AO-2023-08.pdf","447173","2026-06-01T11:21:01"
"3","03-coverage-inversion-contradictory-conditions","KY-DOI-HO-CHECKLIST","doi_checklist","Review Requirements Checklist: Personal Dwelling Homeowners Mobile Homeowners and Farmowners (3rd Edition 02/2009)","yes","https://insurance.ky.gov/ppc/Documents/PersDwellingHomeowners050211.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-DOI-HO-CHECKLIST.pdf","180340","2026-06-01T11:20:53"
"3","03-coverage-inversion-contradictory-conditions","KY-KAR-806-12-095","kar_regulation","806 KAR 12:095 — Unfair Claims Settlement Practices for P&C","yes","https://apps.legislature.ky.gov/services/karmaservice/documents/7539/ToPDF?markup=false","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-KAR-806-12-095.pdf","98338","2026-06-01T11:20:49"
"3","03-coverage-inversion-contradictory-conditions","KY-KAR-806-14-006","kar_regulation","806 KAR 14:006 — P&C Insurance Form Filings","yes","https://apps.legislature.ky.gov/law/kar/titles/806/014/006/","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-KAR-806-14-006.html","55872","2026-06-01T11:20:45"
"3","03-coverage-inversion-contradictory-conditions","KY-KRS-304-14","krs_statute","KRS Chapter 304 Subtitle 14 — The Insurance Contract","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55765","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-KRS-304-14.html","16887","2026-06-01T11:20:42"
"3","03-coverage-inversion-contradictory-conditions","KY-KRS-304-44","krs_statute","KRS Chapter 304 Subtitle 44 — Mine Subsidence Insurance","yes","https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38764","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-KRS-304-44.html","21936","2026-06-01T11:24:16"
"3","03-coverage-inversion-contradictory-conditions","KY-SERFF-KNIC-127064322","serff_rate_rule_filing","Kentucky National Insurance Company Homeowners Policy Program Manual Rate/Rule Filing (KNIC-127064322) — Full Pipeline PDF via AM Best","yes","https://www3.ambest.com/completefilings/KY_05_2011_601300_584481.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\03-coverage-inversion-contradictory-conditions\KY-SERFF-KNIC-127064322.pdf","988279","2026-06-01T11:21:05"
"4","04-calculation-rule-drift-unversioned-rate-reference","KY-DOI-HO-CHECKLIST","doi_checklist","Review Requirements Checklist: Personal Dwelling Homeowners Mobile Homeowners and Farmowners (3rd Edition 02/2009)","yes","https://insurance.ky.gov/ppc/Documents/PersDwellingHomeowners050211.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\04-calculation-rule-drift-unversioned-rate-reference\KY-DOI-HO-CHECKLIST.pdf","180340","2026-06-01T11:20:53"
"4","04-calculation-rule-drift-unversioned-rate-reference","KY-DOI-PC-DOCS-PAGE","doi_guidance","Kentucky DOI P&C and Documents Index Page","yes","https://insurance.ky.gov/ppc/new_docs.aspx?cat=198","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\04-calculation-rule-drift-unversioned-rate-reference\KY-DOI-PC-DOCS-PAGE.html","128103","2026-06-01T11:20:55"
"4","04-calculation-rule-drift-unversioned-rate-reference","KY-KAR-806-13-110","kar_regulation","806 KAR 13:110 — Rate Standards for P&C Flex Rating","yes","https://kyrules.elaws.us/rule/806kar13:110","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\04-calculation-rule-drift-unversioned-rate-reference\KY-KAR-806-13-110.html","46419","2026-06-01T11:20:47"
"4","04-calculation-rule-drift-unversioned-rate-reference","KY-KAR-806-13-150","kar_regulation","806 KAR 13:150 — P&C Rate and Rule Filings","yes","https://apps.legislature.ky.gov/law/kar/titles/806/013/150/","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\04-calculation-rule-drift-unversioned-rate-reference\KY-KAR-806-13-150.html","88690","2026-06-01T11:20:46"
"4","04-calculation-rule-drift-unversioned-rate-reference","KY-KRS-304-13","krs_statute","KRS Chapter 304 Subtitle 13 — Rates and Rating","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=17055","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\04-calculation-rule-drift-unversioned-rate-reference\KY-KRS-304-13.html","9693","2026-06-01T11:20:42"
"4","04-calculation-rule-drift-unversioned-rate-reference","KY-SERFF-KNIC-127064322","serff_rate_rule_filing","Kentucky National Insurance Company Homeowners Policy Program Manual Rate/Rule Filing (KNIC-127064322) — Full Pipeline PDF via AM Best","yes","https://www3.ambest.com/completefilings/KY_05_2011_601300_584481.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\04-calculation-rule-drift-unversioned-rate-reference\KY-SERFF-KNIC-127064322.pdf","988279","2026-06-01T11:21:05"
"5","05-regulatory-mapping-smells","KY-DOI-AO-2023-08","doi_bulletin","Advisory Opinion 2023-08 — Matching in Property Loss Settlement (806 KAR 12:095 Section 9)","yes","https://insurance.ky.gov/ppc/Documents/Advisory%20Opinion%202023-08%20RE%20Matching%20Final.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-DOI-AO-2023-08.pdf","447173","2026-06-01T11:21:01"
"5","05-regulatory-mapping-smells","KY-DOI-AO-2024-01","doi_bulletin","Advisory Opinion 2024-01 — Non-Renewal Notice and Natural Cause Losses (KRS 304.20-340)","yes","https://insurance.ky.gov/ppc/Documents/AdvisoryOpinionNonRenewalNotice.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-DOI-AO-2024-01.pdf","181095","2026-06-01T11:21:02"
"5","05-regulatory-mapping-smells","KY-DOI-BULLETIN-2026-01","doi_bulletin","DOI Bulletin 2026-01 — Use of Satellite and Aerial Imagery for Cancellations and Claim Denials","yes","https://insurance.ky.gov/ppc/Documents/Bulletin%202026-01.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-DOI-BULLETIN-2026-01.pdf","127406","2026-06-01T11:20:59"
"5","05-regulatory-mapping-smells","KY-DOI-HO-CHECKLIST","doi_checklist","Review Requirements Checklist: Personal Dwelling Homeowners Mobile Homeowners and Farmowners (3rd Edition 02/2009)","yes","https://insurance.ky.gov/ppc/Documents/PersDwellingHomeowners050211.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-DOI-HO-CHECKLIST.pdf","180340","2026-06-01T11:20:54"
"5","05-regulatory-mapping-smells","KY-DOI-PC-DOCS-PAGE","doi_guidance","Kentucky DOI P&C and Documents Index Page","yes","https://insurance.ky.gov/ppc/new_docs.aspx?cat=198","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-DOI-PC-DOCS-PAGE.html","127697","2026-06-01T11:20:56"
"5","05-regulatory-mapping-smells","KY-DOI-SERFF-ACCESS","doi_guidance","Public Access Insurance Filings for P&C Rate Rule and Form Filing Search (DOI Instruction Sheet)","yes","https://insurance.ky.gov/ppc/Documents/publicaccessinsurancefilingsforproperty.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-DOI-SERFF-ACCESS.pdf","362679","2026-06-01T11:20:57"
"5","05-regulatory-mapping-smells","KY-KAR-806-12-095","kar_regulation","806 KAR 12:095 — Unfair Claims Settlement Practices for P&C","yes","https://apps.legislature.ky.gov/services/karmaservice/documents/7539/ToPDF?markup=false","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KAR-806-12-095.pdf","98338","2026-06-01T11:20:50"
"5","05-regulatory-mapping-smells","KY-KAR-806-13-150","kar_regulation","806 KAR 13:150 — P&C Rate and Rule Filings","yes","https://apps.legislature.ky.gov/law/kar/titles/806/013/150/","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KAR-806-13-150.html","88690","2026-06-01T11:20:46"
"5","05-regulatory-mapping-smells","KY-KAR-806-14-006","kar_regulation","806 KAR 14:006 — P&C Insurance Form Filings","yes","https://apps.legislature.ky.gov/law/kar/titles/806/014/006/","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KAR-806-14-006.html","55872","2026-06-01T11:20:45"
"5","05-regulatory-mapping-smells","KY-KAR-806-20-010","kar_regulation","806 KAR 20:010 — Declination Cancellation and Nonrenewal of P&C Insurance","yes","https://apps.legislature.ky.gov/law/kar/titles/806/020/010/","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KAR-806-20-010.html","38514","2026-06-01T11:20:47"
"5","05-regulatory-mapping-smells","KY-KRS-304-12-230","krs_statute","KRS 304.12-230 — Unfair Claims Settlement Practices Act","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=17009","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KRS-304-12-230.html","4418","2026-06-01T11:20:44"
"5","05-regulatory-mapping-smells","KY-KRS-304-13","krs_statute","KRS Chapter 304 Subtitle 13 — Rates and Rating","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=17055","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KRS-304-13.html","9693","2026-06-01T11:20:42"
"5","05-regulatory-mapping-smells","KY-KRS-304-14","krs_statute","KRS Chapter 304 Subtitle 14 — The Insurance Contract","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55765","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KRS-304-14.html","16887","2026-06-01T11:20:42"
"5","05-regulatory-mapping-smells","KY-KRS-304-20","krs_statute","KRS Chapter 304 Subtitle 20 — Casualty Insurance Contracts","yes","https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38730","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KRS-304-20.html","27181","2026-06-01T11:20:43"
"5","05-regulatory-mapping-smells","KY-KRS-304-44","krs_statute","KRS Chapter 304 Subtitle 44 — Mine Subsidence Insurance","yes","https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38764","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-KRS-304-44.html","21936","2026-06-01T11:24:16"
"5","05-regulatory-mapping-smells","KY-SERFF-KNIC-127064322","serff_rate_rule_filing","Kentucky National Insurance Company Homeowners Policy Program Manual Rate/Rule Filing (KNIC-127064322) — Full Pipeline PDF via AM Best","yes","https://www3.ambest.com/completefilings/KY_05_2011_601300_584481.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\05-regulatory-mapping-smells\KY-SERFF-KNIC-127064322.pdf","988279","2026-06-01T11:21:06"
